"semantic_task","development_plan_source","source_classification","current_primary_generator","current_validator","current_fallback","current_production_authority","target_primary_generator","target_validator","target_fallback","target_production_authority","migration_phase","cutover_gate","notes"
"report capture","§3 L1/L2 as-is; §5 minimal output capture hooks","SOURCE_FROZEN","TradingAgents native graph plus COMQUTOR final-state writer; canonical prompt injection also changes requested native output","Artifact writer identity/path validation","Run failure handling","TradingAgents output plus actively solicited canonical block","TradingAgents as-is with passive raw/final-state capture","Deterministic artifact identity, completeness, and provenance validator","Explicit capture failure","Passive captured raw output","Phase 4","Canonical-edge impact measured; flagged rollout and rollback ready","CURRENT diverges because prompt injection is active behavior; TARGET removes that authority"
"claim segmentation","§5.1 natural language to standard claim schema","SOURCE_FROZEN","Deterministic segmenter","Deterministic field/schema and byte-identity checks","Safe default record","Deterministic segment boundaries","LLM semantic proposer operating on deterministic candidate segments","Deterministic source-span, provenance, schema, identity, and boundary validator","Explicit deterministic degraded segmentation","Validated semantic claim boundaries","Phase 1","Shadow quality evaluation and bounded failure rate pass","The Plan does not require all candidate segmentation to be LLM-generated"
"claim extraction","§5.1 Structured Output Adapter","SOURCE_FROZEN","Deterministic segment text; optional LLM cannot change claim","Structured-output validator and LLM batch identity validator","Unknown safe default","Deterministic claim text","LLM primary open-language Claim proposer","Deterministic provenance/source-span/schema validator","Explicit deterministic fallback claim","Validated structured claim","Phase 1","Semantic quality evaluation approved","Current LLM enrichment is gated and off by default"
"evidence pairing","§5.1 claim/evidence mandatory fields","SOURCE_FROZEN","Deterministic evidence equals bounded segment text; optional LLM must preserve it","Source-span and batch identity validation","Unknown safe default","Deterministic pairing","LLM Claim/Evidence pairing proposer","Deterministic verbatim source-span and provenance validator","Explicit deterministic same-segment pairing","Validated Claim/Evidence pair","Phase 1","Human-reviewed pairing quality and provenance pass","No current independent pairing quality baseline"
"entity extraction","§5.1 entities best-effort and may be empty","SOURCE_FROZEN","Deterministic enrichment with optional LLM enrichment","Schema/type validation","Empty array","Deterministic unless optional LLM enabled","LLM semantic proposer","Deterministic schema and source-grounding validator","Explicit deterministic extraction or empty-array degradation","Validated entity list","Phase 1","Entity precision/recall review and fallback observability","LLM output cannot invent downstream identity"
"factor extraction","§5.1 factors best-effort","SOURCE_FROZEN","Deterministic canonical vocabulary extraction with optional LLM enrichment","Canonical factor normalization and schema validation","Empty array or deterministic factors","Deterministic factors unless optional LLM enabled","LLM semantic proposer bounded to accepted vocabulary/normalization","Deterministic factor vocabulary, provenance, and schema validator","Explicit deterministic factor extraction","Validated canonical factors","Phase 1","Factor evaluation and downstream delta review","Factor/relation vocabulary remains deterministic authority"
"direction","§5.1 direction field and safe default","SOURCE_FROZEN","Deterministic semantics with optional LLM enrichment","Allowed-enum validation","unknown","Deterministic unless optional LLM enabled","LLM semantic proposer","Deterministic enum/schema and evidence-consistency validator","Explicit deterministic direction or unknown","Validated direction","Phase 1","Direction quality evaluation","Evidence Stance is a separate later requirement"
"confidence","§5.1 confidence in [0,1] and safe default 0","SOURCE_FROZEN","Deterministic default/heuristic with optional LLM enrichment","Numeric bounds validator","0","Validated bounded value","LLM confidence proposer","Deterministic type/range validator","0 with degradation metadata","Validated bounded confidence","Phase 1","Calibration evaluation approved","A bounded number is not proof of calibration"
"alpha deterministic eligibility","§5.2 Tier 1 keyword/factor matching","SOURCE_FROZEN","Deterministic keyword/factor/direction/semantic scoring","Taxonomy and hard eligibility gates","No-match","Deterministic Tier 1","Deterministic Tier 1","Taxonomy validity and hard eligibility gates","No-match","Deterministic eligibility set","Phase 2","Existing acceptance tests plus frozen John-20 set","LLM cannot create or restore candidates"
"alpha ambiguous classification","§5.2 Tier 2 LLM classification","SOURCE_FROZEN","Optional LLM select/defer among >=2 deterministic candidates","Allowed-alpha and response-schema validator","Keep deterministic decision","Deterministic decision unless bounded LLM is enabled and accepted","LLM select/defer among eligible candidates","Deterministic candidate membership and schema validator","Explicit Tier 3 fallback","Validated bounded selection/defer","Phase 2","John's 20 labels available and >=80% formal evaluation passes","PRODUCT_VALIDATION_MISSING"
