candidate_id,ticker,run_id,agent,claim_id,claim_index,claim_text,direction,assertion_status,relation_phrase,left_endpoint_text,right_endpoint_text,left_current_factor,right_current_factor,current_rejection_reason,proposed_source_factor,proposed_relation,proposed_target_factor,candidate_label,label_reason,proposed_code_change,evidence_count,discovery_or_validation_set
missed-000,MSFT,61f3e019-63a8-4c56-b763-057208d5efae,bull_researcher,61f3e019-63a8-4c56-b763-057208d5efae:bull_researcher:investment_debate_state.bull_history:claim:287,286,"They're building Azure-specific, Copilot-integrated, OpenAI-exclusive enterprise AI infrastructure that cannot be substituted even if AWS has 10x the raw compute available.",unknown,n/a,if,AI Infrastructure,Inference Demand,AI Infrastructure,Inference Demand,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-001,MSFT,61f3e019-63a8-4c56-b763-057208d5efae,bear_researcher,61f3e019-63a8-4c56-b763-057208d5efae:bear_researcher:investment_debate_state.bear_history:claim:77,76,"The bull is essentially saying ""trust us, enterprise AI demand will fill this."" But the market is asking: what if it takes longer than expected?",unknown,n/a,but,AI Demand,Inference Demand,AI Demand,Inference Demand,OTHER_WITH_EXPLANATION:interrogative_abstains,N/A,N/A,N/A,CORRECTLY_REJECTED,Sentence contains '?' (interrogative/rhetorical framing); extract_relation_candidates deliberately abstains on all interrogative text since there is no assertion to extract.,NONE -- does not meet promotion threshold (see report),1,validation
missed-002,SNDK,8d21c047-fc0a-4d94-957d-3787f353a544,news_agent,8d21c047-fc0a-4d94-957d-3787f353a544:news_agent:news_report:claim:48,47,"AI Capex Skepticism: IBM's warning has reignited debate about enterprise AI ROI, which could reduce forward memory demand forecasts.",unknown,n/a,reduce,AI CapEx,Inference Demand,AI CapEx,Inference Demand,RELATION_RULE_GAP,AI CapEx,reduce,Inference Demand,AMBIGUOUS_REQUIRES_REVIEW,"'... has reignited debate about enterprise AI ROI, which could reduce forward memory demand forecasts.' -- 'reduce' is already in FORWARD_TRANSITIVE's verb list, but the two mentioned factors sit in different clauses separated by a relative clause boundary, so the same-clause endpoint search never pairs them. Single occurrence across the whole 6-run corpus; the true grammatical target of 'reduce' may also not be 'AI CapEx' (this script's own endpoint guess is a naive first-two-distinct-factors heuristic, not authoritative) -- needs manual linguistic confirmation, not promotion, before any code change.",NONE -- does not meet promotion threshold (see report),1,discovery
missed-003,SNDK,8d21c047-fc0a-4d94-957d-3787f353a544,bear_researcher,8d21c047-fc0a-4d94-957d-3787f353a544:bear_researcher:investment_debate_state.bear_history:claim:239,238,It introduced legitimate doubt about the trajectory of enterprise AI capex — the very demand driver the bull is relying on.,unknown,n/a,relying on,AI CapEx,Inference Demand,AI CapEx,Inference Demand,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,discovery
missed-004,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,sentiment_agent,0ba23540-0623-4d05-a670-098fbbfec1d1:sentiment_agent:sentiment_report:claim:84,83,"If they confirm elevated AI infrastructure spending, it is a direct tailwind.",unknown,n/a,if,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-005,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,news_agent,0ba23540-0623-4d05-a670-098fbbfec1d1:news_agent:news_report:claim:30,29,"The market is in a state of ""AI jitter"" — while AI infrastructure spending remains robust, investors are growing anxious about the pace of return on massive capex investments by hyperscalers.",unknown,n/a,while,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-006,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,bull_researcher,0ba23540-0623-4d05-a670-098fbbfec1d1:bull_researcher:investment_debate_state.bull_history:claim:16,15,But let me ask you this: when was the last time a semiconductor cycle happened while hyperscalers were collectively spending hundreds of billions of dollars per year building AI infrastructure that fundamentally requires high-bandwidth memory?,unknown,n/a,requires,AI Infrastructure,Semiconductor Cycle,AI Infrastructure,Semiconductor Cycle,OTHER_WITH_EXPLANATION:interrogative_abstains,N/A,N/A,N/A,CORRECTLY_REJECTED,Sentence contains '?' (interrogative/rhetorical framing); extract_relation_candidates deliberately abstains on all interrogative text since there is no assertion to extract.,NONE -- does not meet promotion threshold (see report),1,validation
missed-007,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,bear_researcher,0ba23540-0623-4d05-a670-098fbbfec1d1:bear_researcher:investment_debate_state.bear_history:claim:332,331,"If Meta or Amazon pauses even one quarter of AI infrastructure spending — which is exactly what the Evercore warning and the bear-case capex scenario predict — that receivable converts at a lower replenishment rate, and the cash position the bull is celebrating as a ""fortress"" begins to erode.",unknown,n/a,erode,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-008,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,bear_researcher,0ba23540-0623-4d05-a670-098fbbfec1d1:bear_researcher:investment_debate_state.bear_history:claim:402,401,The very macro conditions that would drive Fed cuts are the conditions most likely to compress AI infrastructure spending — which is Micron's revenue driver.,unknown,n/a,drive,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-009,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,research_manager,0ba23540-0623-4d05-a670-098fbbfec1d1:research_manager:investment_plan:claim:37,36,Any reiteration or increase of 2026 AI infrastructure spending is a direct HBM demand confirmation.,positive,n/a,increase,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
