case_id,case_type,ticker,status,required_expectations_passed,skipped_reason,error
nvda_historical_v1,historical_replay_case,NVDA,completed,True,,
msft_historical_v1,historical_replay_case,MSFT,completed,True,,
sndk_historical_v1,historical_replay_case,SNDK,completed,True,,
amd_historical_v1,historical_replay_case,AMD,completed,True,,
googl_historical_v1,historical_replay_case,GOOGL,completed,True,,
qqq_historical_v1,historical_replay_case,QQQ,completed,True,,
avgo_pending_v1,unknown,AVGO,pending_fixture,,GOLDEN_CASE_BUNDLE_NOT_PRESENT: evaluation/golden_cases/avgo_pending_v1,
spy_pending_v1,unknown,SPY,pending_fixture,,GOLDEN_CASE_BUNDLE_NOT_PRESENT: evaluation/golden_cases/spy_pending_v1,
tsm_pending_v1,unknown,TSM,pending_fixture,,GOLDEN_CASE_BUNDLE_NOT_PRESENT: evaluation/golden_cases/tsm_pending_v1,
smci_pending_v1,unknown,SMCI,pending_fixture,,GOLDEN_CASE_BUNDLE_NOT_PRESENT: evaluation/golden_cases/smci_pending_v1,
amzn_pending_v1,unknown,AMZN,pending_fixture,,GOLDEN_CASE_BUNDLE_NOT_PRESENT: evaluation/golden_cases/amzn_pending_v1,
