sample_id,ticker,evidence,system_matched_alpha_id,system_matched_alpha_name,system_match_score_top1_raw,system_candidate_ranking_by_raw_score,independent_expected_alpha_id,independent_expected_alpha_confidence,independent_expected_alpha_reason,target_alpha_id,expected_alpha_in_system_candidate_set,expected_alpha_rank_by_raw_score,expected_alpha_score_by_raw_score,root_cause,plausibility_assessment,analyst_note
evrs-002,TSM,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,A501,Recession Risk,0.8146,A501=0.8146; A101=0.4973; A201=0.3223; A301=0.265; A601=0.205,A201,medium,"The evidence describes generic semiconductor cyclicality risk applicable to any chip company, not specifically TSM, and while it touches on the Semiconductor Supercycle thesis (A201) by referencing a potential downturn, it is too generic and industry-level to be ticker-specific or decisively admissible.",A101,True,3,0.3223,C,SYSTEM_MORE_PLAUSIBLE,"'a downturn in AI demand or a broader economic slowdown could compress earnings' echoes A501's own core_thesis almost verbatim ('economic slowdown pressure earnings'); system's A501 (score 0.81) is a tighter semantic match than the LLM's A201 (rank3, score 0.32), which the LLM itself flagged too_generic/conditional."
evrs-007,MSFT,"The central tension is the $115.95B CapEx: it compressed FCF 6.5% to $66.99B despite record OCF, and the market has validated the quarter but not yet the multi-year conversion of that spending into proportional revenue growth.",A301,Revenue Expansion,0.6716,A301=0.6716; A103=0.1986; A101=0.187; A001=0.028; A003=0.028,A304,high,"The evidence provides specific financial figures ($115.95B CapEx, 6.5% FCF compression, $66.99B FCF) and directly argues that the market has not yet validated conversion of heavy spending into proportional revenue growth, substantively engaging with Multiple Compression (A304) as a bear-side risk for MSFT.",A301,False,,,D,GENUINELY_AMBIGUOUS,"Expected A304 never generated as a candidate at all. Evidence is about CapEx-to-revenue *conversion timing* risk, not literally about valuation multiples; A304's definition ('rich valuation and high multiples') doesn't cleanly cover 'spending not yet proven to convert to revenue' -- a real taxonomy boundary gap, not obviously a recall bug."
evrs-011,NVDA,Theme: Hyperscaler AI CapEx; Evidence: Microsoft $41B AI spend; Azure growth accelerated; Implication for NVDA: Bullish — validates GPU demand engine,A301,Revenue Expansion,0.8204,A101=0.8204; A103=0.5115; A301=0.425; A201=0.305; A001=0.08,A103,high,"The evidence cites Microsoft's $41B AI spend and Azure growth acceleration as validation of GPU demand, directly engaging A103 (AI Infrastructure buildout driving datacenter/server demand) with a specific hyperscaler data point linked to NVDA's demand engine.",A101,True,2,0.5115,A,GENUINELY_AMBIGUOUS,"Confirmed directly via candidate_scores[].rejection_reason: BOTH A101 (rank1 raw score 0.82, this row's own target_alpha_id) AND A103 (rank2 raw score 0.51, the LLM's independently expected alpha) carry the identical rejection_reason 'AI alpha hard gate not satisfied: missing an alpha-specific anchor phrase with a locally co-occurring change predicate' (comqutor_alpha/structure_engine/ai_alpha_discriminator.py, gating AI_ALPHA_IDS={A101,A102,A103}). matched_alpha fell to A301 (rank3 raw score 0.43, the highest-scoring ELIGIBLE candidate). This is NOT a ranking bug -- it is the confirmed, intended operation of a deliberately-built anti-false-positive gate (see alpha_mapper.py:515-519 comment: loosening this would 'reopen exactly the weak-recall gap this Sprint closes')."
evrs-016,QQQ,"AI CapEx / AI Infrastructure boom (bullish): Microsoft's blockbuster cloud quarter is the week's defining positive catalyst, reinforcing the ""AI spending boom remains alive"" narrative.",A601,Narrative Momentum,0.8461,A103=0.8461; A101=0.7146; A601=0.3923; A301=0.305; A001=0.08,A103,medium,"The evidence cites Microsoft's cloud quarter as a catalyst reinforcing the AI infrastructure spending boom narrative, directly engaging A103; however, the link to QQQ specifically is indirect — it applies broadly to AI-exposed equities rather than QQQ distinctively.",A103,True,1,0.8461,A,GENUINELY_AMBIGUOUS,"Confirmed directly via candidate_scores[].rejection_reason: A103 (rank1 raw score 0.85, the LLM's independently expected alpha) AND A101 (rank2, 0.71) both carry the AI hard-gate rejection_reason; matched_alpha fell to A601 (rank3 by raw score, 0.39, the highest-scoring eligible candidate). Evidence text literally contains the word 'narrative' ('reinforcing the AI spending boom remains alive narrative'), which independently supports A601 on its own textual merits, not just as a gate-driven fallback."
evrs-017,QQQ,The primary fundamental risks are Valuation Risk (priced for perfection) and Recession Risk (growth names are most vulnerable to economic slowdowns).,A501,Recession Risk,0.8558,A501=0.8558; A304=0.7884; A001=0.0; A003=0.0; A101=0.0,A304,medium,"The evidence names both valuation risk and recession risk as primary concerns for QQQ but provides no specific data points or quantification, making it generic boilerplate that could apply to any growth-heavy index fund without QQQ-specific substance.",A304,True,2,0.7884,A,GENUINELY_AMBIGUOUS,"Near-tied race: system A501 (0.86) vs LLM's A304 (0.79), both legitimately eligible, both explicitly named side-by-side in the evidence text ('Valuation Risk...and Recession Risk'). LLM's own confidence=medium and too_generic=True flags signal low self-confidence in its own pick."
evrs-023,QQQ,"The primary fundamental supports are AI CapEx / Datacenter CapEx and Semiconductor Cycle strength driving Revenue Growth among top holdings, alongside potential Rate Cut Cycle tailwinds and Liquidity Expansion supporting the premium multiple.",A003,Liquidity Expansion,0.9519,A003=0.9519; A001=0.7596; A301=0.7596; A101=0.7146; A103=0.6923,A103,medium,"The evidence is a high-level summary of multiple alphas (AI CapEx, semiconductor cycle, rate cuts, liquidity) applied to QQQ as an ETF rather than a specific company, making it too generic and not ticker-specific in a meaningful way; it reads as boilerplate thematic framing rather than substantive evidence for any single alpha.",A001,True,5,0.6923,C,SYSTEM_MORE_PLAUSIBLE,"Evidence is a multi-topic 'kitchen sink' sentence naming AI CapEx, semiconductor cycle, rate cuts, AND liquidity together. System's A003 pick matches the sentence's own closing clause almost verbatim ('Liquidity Expansion supporting the premium multiple'); LLM's A103 pick (rank5, lowest score 0.69) is a looser inference, and the LLM itself flagged too_generic=True."
evrs-030,QQQ,"The primary fundamental supports are AI CapEx / Datacenter CapEx and Semiconductor Cycle strength driving Revenue Growth among top holdings, alongside potential Rate Cut Cycle tailwinds and Liquidity Expansion supporting the premium multiple.",A003,Liquidity Expansion,0.9519,A003=0.9519; A001=0.7596; A301=0.7596; A101=0.7146; A103=0.6923,A103,medium,"Identical to evrs-023 — this is a multi-alpha thematic summary applied to QQQ as an ETF, too generic and not substantively specific to any single alpha or to QQQ as a distinct ticker rather than a broad market proxy.",A301,True,5,0.6923,C,SYSTEM_MORE_PLAUSIBLE,"Byte-identical evidence text to evrs-023 (both QQQ, same sentence) -- same judgment applies; this is one underlying disagreement counted twice by the sampling, not two independent errors."
evrs-031,AMD,"The evidence cited—Microsoft's and Amazon's record single-day surges on AI-driven earnings, a combined $750 billion in 2026 AI CapEx plans, and AMD's own 34% revenue growth in 2025—is compelling.",A301,Revenue Expansion,0.7596,A301=0.7596; A101=0.7146; A103=0.5115; A001=0.08; A003=0.08,A101,high,"The evidence directly references AMD's 34% revenue growth in 2025 alongside hyperscaler AI CapEx plans, substantively supporting the AI Expansion thesis as it applies to AMD's accelerator demand. The combination of specific figures (AMD revenue growth, $750B CapEx) makes this ticker-specific and decision-relevant.",A101,True,2,0.7146,C,GENUINELY_AMBIGUOUS,"Evidence names BOTH hyperscaler AI CapEx (supports A101) AND AMD's own 34% revenue growth explicitly (textually on-thesis for A301, the system's pick). Close score race (0.76 vs 0.71); genuinely defensible either way."
evrs-041,MSFT,"Reasoning: The debate produced no decisive winner: the bull's case rests on exceptional FY2026 fundamentals (17.8% revenue growth, 46.8% operating margins, record $182.94B OCF) that justify long-term ownership, while the bear's case rests on objectively overbought technicals (RSI 74, price above upper Bollinger Band, unresolved death cross) and a hostile macro backdrop with no rate cuts.",A301,Revenue Expansion,0.7596,A301=0.7596; A101=0.275; A001=0.08; A003=0.08; A102=0.08,A304,medium,"The evidence summarizes both bull (strong fundamentals) and bear (overbought technicals, no rate cuts) cases for MSFT, with the bear case centering on valuation/technical overextension — most directly engaging A304 (Multiple Compression). However, it is a meta-summary of a debate rather than a discrete, actionable evidence item, making admissibility conditional on whether the system accepts debate summaries as evidence.",A001,False,,,J,GENUINELY_AMBIGUOUS,"OTHER, precisely: this evidence item is a meta-summary of a bull/bear debate ('the debate produced no decisive winner...') rather than a discrete claim -- an input shape the taxonomy was never designed to cleanly classify. The LLM's own admissibility=conditional flag acknowledges this directly ('meta-summary...rather than a discrete, actionable evidence item')."
evrs-042,MSFT,"If the depreciation hits the income statement as expected, or if AI revenue growth decelerates, the forward EPS will be revised down, and the ""cheap"" 20x P/E will quickly become an expensive 25x+ P/E.",A301,Revenue Expansion,0.6896,A301=0.6896; A304=0.3223; A101=0.2723; A001=0.052; A003=0.052,A304,high,"The evidence directly argues that depreciation headwinds or AI revenue deceleration would compress MSFT's forward EPS, causing the current 'cheap' 20x P/E to become an expensive 25x+ P/E — a specific, ticker-level multiple compression thesis squarely within A304.",A301,True,2,0.3223,A,REVIEWER_MORE_PLAUSIBLE,"A304 present at rank2 (0.32) behind A301 (0.69) -- a real ranking loss, not an eligibility exclusion. The sentence's own rhetorical climax ('the cheap 20x P/E will quickly become an expensive 25x+ P/E') is precisely A304's domain; LLM's pick tracks the sentence's actual emphasis better than the system's A301 top-1."
