factor_id,factor_name,incoming_admitted_edge_count,outgoing_admitted_edge_count,incident_admitted_edge_count,invariant_holds,mapped_alpha_ids,selected_alpha_id,"qualifying_activation_edge_count (alpha-local, per activation_scorer_v2.local_edge_count)",nonqualifying_edge_count,qualification_reasons,activation_score,activation_level,qualification_ceiling,qualification_code
ai_capex,AI CapEx,0,3,3,True,A101;A103;A301;A601,A101,0,3,NO_LOCAL_STRUCTURE_SUPPORT,59.9074,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
ai_demand,AI Demand,1,0,1,True,A601,A601,0,1,NO_LOCAL_STRUCTURE_SUPPORT,66.9109,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
ai_infrastructure,AI Infrastructure,0,0,0,True,A101;A103,A101,0,0,NO_LOCAL_STRUCTURE_SUPPORT,59.9074,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
datacenter_capex,Datacenter CapEx,0,0,0,True,A101,A101,0,0,NO_LOCAL_STRUCTURE_SUPPORT,59.9074,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
gpu_demand,GPU Demand,3,1,4,True,A301,A301,0,4,NO_LOCAL_STRUCTURE_SUPPORT,66.4936,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
inference_demand,Inference Demand,0,0,0,True,A102;A103,A102,0,0,INSUFFICIENT_UNIQUE_EVIDENCE;NO_TICKER_SPECIFIC_EVIDENCE;INSUFFICIENT_AGENT_INDEPENDENCE;NO_LOCAL_STRUCTURE_SUPPORT,24.2666,inactive,60.0,INSUFFICIENT_UNIQUE_EVIDENCE;NO_TICKER_SPECIFIC_EVIDENCE;INSUFFICIENT_AGENT_INDEPENDENCE;NO_LOCAL_STRUCTURE_SUPPORT
narrative_momentum,Narrative Momentum,0,1,1,True,A601,A601,0,1,NO_LOCAL_STRUCTURE_SUPPORT,66.9109,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
nvda_revenue_growth,NVDA Revenue Growth,4,0,4,True,A301,A301,0,4,NO_LOCAL_STRUCTURE_SUPPORT,66.4936,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
rate_cut_cycle,Rate Cut Cycle,0,1,1,True,,,,,,,,,
recession_risk,Recession Risk,0,1,1,True,A501,A501,0,1,INSUFFICIENT_UNIQUE_EVIDENCE;NO_TICKER_SPECIFIC_EVIDENCE;INSUFFICIENT_AGENT_INDEPENDENCE;NO_LOCAL_STRUCTURE_SUPPORT,23.8373,inactive,60.0,INSUFFICIENT_UNIQUE_EVIDENCE;NO_TICKER_SPECIFIC_EVIDENCE;INSUFFICIENT_AGENT_INDEPENDENCE;NO_LOCAL_STRUCTURE_SUPPORT
semiconductor_cycle,Semiconductor Cycle,0,1,1,True,A201,A201,0,1,NO_LOCAL_STRUCTURE_SUPPORT,62.5678,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
valuation_risk,Valuation Risk,1,1,2,True,A304;A601,A304,0,2,NO_LOCAL_STRUCTURE_SUPPORT,65.4177,active,70.0,NO_LOCAL_STRUCTURE_SUPPORT
