sample_id,claim_id,ticker,target_alpha_id,claim,deterministic_v1_stance,llm_v1_stance,final_stance,counter_alpha_id,stance_method,fallback_reason,reviewer_expected_stance,agreement_with_existing_review,provenance
evrs-001,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:62,AMD,A301,If AMD delivers a beat-and-raise — which the data suggests is highly likely — the stock reclaims the 50-day SMA at $512.45 and heads toward the $550-$580 zone.,supports_alpha,supports_alpha,supports_alpha,,llm,,,N/A,parser_fix_rerun
evrs-002,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:fundamental_agent:fundamentals_report:claim:70,TSM,A101,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,supports_alpha,opposes_alpha,opposes_alpha,,llm,,,N/A,parser_fix_rerun
evrs-003,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:49,QQQ,A001,"Conversely, a delayed easing cycle would pressure the fund's elevated multiple.",supports_alpha,opposes_alpha,opposes_alpha,,llm,,,N/A,parser_fix_rerun
evrs-004,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:32,SNDK,A102,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,neutral_background,mentions_alpha,mentions_alpha,,llm,,,N/A,parser_fix_rerun
evrs-005,0cb43bae-1a4d-4003-bb29-55d420498842:conservative_risk_analyst:risk_debate_state.conservative_history:claim:54,MSFT,A304,"If Azure growth does not accelerate proportionally in the coming quarters, the stock could face multiple compression despite strong absolute fundamentals.",neutral_background,supports_alpha,supports_alpha,,llm,,,N/A,parser_fix_rerun
evrs-006,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:32,SNDK,A003,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,neutral_background,mentions_alpha,mentions_alpha,,llm,,,N/A,parser_fix_rerun
evrs-007,0cb43bae-1a4d-4003-bb29-55d420498842:portfolio_manager:final_trade_decision:claim:10,MSFT,A301,"The central tension is the $115.95B CapEx: it compressed FCF 6.5% to $66.99B despite record OCF, and the market has validated the quarter but not yet the multi-year conversion of that spending into proportional revenue growth.",neutral_background,mentions_alpha,mentions_alpha,,llm,,,N/A,parser_fix_rerun
evrs-008,a364e0ee-3bb4-4032-88b7-5cd82e379805:sentiment_agent:sentiment_report:claim:12,QQQ,A601,"economy — ""one powerful investment trend is masking a broader slowdown"" (GuruFocus), pointing to recession risk beneath the AI narrative.",supports_counter_alpha,opposes_alpha,opposes_alpha,,llm,,,N/A,parser_fix_rerun
evrs-009,0cb43bae-1a4d-4003-bb29-55d420498842:fundamental_agent:fundamentals_report:claim:102,MSFT,A304,"Valuation Risk: Despite the pullback, at $3.43T market cap, the stock remains priced for continued high growth.",neutral_background,supports_alpha,supports_alpha,,llm,,,N/A,parser_fix_rerun
evrs-010,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:51,QQQ,A501,"Recession Risk: An economic slowdown would disproportionately pressure high-multiple growth names, making QQQ more vulnerable than broad-market indices to recessionary shocks.",supports_alpha,supports_alpha,supports_alpha,,llm,,,N/A,parser_fix_rerun
