ticker,alpha_id,alpha_name,historical_mapping,exposure_band,mapping_confidence,status,ticker_basis,primary_source_basis,effective_date
NVDA,A001,Rate Cut Cycle,0.55,moderate,0.75,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A003,Liquidity Expansion,0.70,moderate,0.75,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A101,AI Expansion,0.95,defining,0.85,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A102,Inference Explosion,0.75,strong,0.85,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A103,AI Infrastructure,0.70,moderate,0.85,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A201,Semiconductor Supercycle,0.90,defining,0.85,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A301,Revenue Expansion,0.85,strong,0.80,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A304,Multiple Compression,0.80,strong,0.75,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A501,Recession Risk,0.45,indirect,0.75,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
NVDA,A601,Narrative Momentum,0.90,defining,0.75,draft,Direct AI compute and networking platform; preserves John's plan example for A101/A102/A103/A201/A301/A304/A601.,NVIDIA FY2026 Form 10-K / FY2026 annual report,2026-07-31
AMD,A001,Rate Cut Cycle,0.55,moderate,0.75,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A003,Liquidity Expansion,0.70,moderate,0.75,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A101,AI Expansion,0.85,strong,0.85,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A102,Inference Explosion,0.80,strong,0.85,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A103,AI Infrastructure,0.70,moderate,0.85,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A201,Semiconductor Supercycle,0.90,defining,0.85,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A301,Revenue Expansion,0.80,strong,0.80,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A304,Multiple Compression,0.75,strong,0.75,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A501,Recession Risk,0.55,moderate,0.75,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
AMD,A601,Narrative Momentum,0.85,strong,0.75,draft,"AI accelerators, server CPUs, networking and data-center systems; material non-AI client/gaming exposure remains.",AMD FY2025 Form 10-K,2026-07-31
MSFT,A001,Rate Cut Cycle,0.55,moderate,0.75,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
