component,path,origin,upstream_url_if_recorded,detected_license,license_source,modified,distributed_with_product,runtime_dependency,confidence,obligations_summary,unknowns,recommended_action
tradingagents (this repo's package),/,Vendored fork of TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents.git (referenced in README.md install instructions),Apache-2.0,LICENSE (repo root),"Yes (comqutor_alpha/ added on top; some tradingagents/ files locally modified, see license_boundary_report.md)",Yes,Yes,high,"Apache-2.0: must preserve copyright/license notices, state changes, include NOTICE if upstream provides one (none found), no trademark grant.",LICENSE's 'APPENDIX: How to apply' block has an unfilled [name of copyright owner] placeholder -- no explicit copyright holder is named anywhere in the repo.,VERIFY_WITH_COUNSEL_OR_UPSTREAM
comqutor_alpha (this repo's COMQUTOR package),comqutor_alpha/,Original COMQUTOR code,,Apache-2.0 (repo LICENSE covers the whole package tree; no separate per-package license file found),LICENSE (repo root),N/A (original),Yes,Yes,high,Same as root Apache-2.0 obligations.,No separate copyright holder declared.,NONE
cli/ (TradingAgents-style terminal UI),cli/,Vendored/adapted from upstream TradingAgents CLI,https://github.com/TauricResearch/TradingAgents.git,Apache-2.0 (inherits repo LICENSE),LICENSE (repo root),Unknown (not audited file-by-file in this sprint),Yes,Yes,medium,Same as root Apache-2.0 obligations.,Extent of local modification not individually audited.,VERIFY_WITH_COUNSEL_OR_UPSTREAM
langchain-core,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
backtrader,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,GPL-3.0-or-later,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,"Copyleft: distributing a work that statically/dynamically links backtrader as a library may require the combined work to also be GPL-3.0-licensed. Python's import mechanism's effect on this is legally debated -- flagged, not resolved, here.",,VERIFY_WITH_COUNSEL_OR_UPSTREAM
langchain-anthropic,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
langchain-experimental,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
langchain-google-genai,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
langchain-openai,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
langgraph,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
langgraph-checkpoint-sqlite,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
PyYAML,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
pandas,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,BSD-3-Clause,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
parsel,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,BSD (unspecified variant per package classifier),"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,medium,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
