path,function_or_context,type,description,required_for_comqutor,compliant_with_minimal_hooks,risk
tradingagents/comqutor_outputs.py,module-level shim (9 lines),output_capture_hook,"Re-exports AGENT_OUTPUT_FIELDS/OUTPUT_VERSION/save_comqutor_run_outputs from comqutor_alpha.adapters.tradingagents_output_writer; no logic of its own",no (zero importers found anywhere in the repo -- appears dead/vestigial),yes (content-wise, pure passthrough),none -- but it is the only file physically added inside tradingagents/, so it is the sole item a real upstream diff would flag as new
comqutor_alpha/adapters/tradingagents_output_writer.py,save_comqutor_run_outputs / AGENT_OUTPUT_FIELDS,output_capture_hook,"Reads fields off the graph's final_state dict after a run completes and writes JSON to disk; zero .invoke()/ChatOpenAI()/ChatAnthropic()/get_llm() calls found in the file; lives entirely outside tradingagents/",yes,yes -- textbook read/save-existing-output hook,none
comqutor_alpha/llm/canonical_prompt_injection.py,comqutor_structure_output_contract_scope() / _make_wrapper(),prompt_change (functionally agent_behavior_change),"Monkeypatches the already-imported get_language_instruction attribute on all 12 TradingAgents agent modules for the duration of one propagate()/stream() call, appending the COMQUTOR Structure Output Contract suffix to every one of their prompts; the module's own docstring explicitly frames 'never an edit to tradingagents/' as its design goal",yes (this is COMQUTOR's core relation-extraction mechanism),no -- changes what every agent is asked to produce even though no tradingagents/ file is edited on disk,HIGH -- central compliance risk item of this whole audit
comqutor_alpha/structure_engine/canonical_relation_prompt.py,build_structure_output_contract_prompt_suffix(),prompt_change (the injected text itself),"Builds the literal suffix: instructs the LLM to append a COMQUTOR_CANONICAL_RELATIONS marker + fenced JSON block (source_factor_id/relation_type/target_factor_id/evidence_quote/assertion_status/confidence), drawn from a fixed factor/relation taxonomy, with worked examples and 14 mandatory rules",yes,n/a (this is the payload of the finding above),HIGH (same as above -- this is what actually reaches the LLM)
tradingagents/agents/utils/agent_utils.py,get_language_instruction() (lines 52-65),baseline_unmodified,"Confirmed unchanged on disk: original upstream function returns '' for English or a one-line localization instruction otherwise. This is the shared attribute all 12 prompt-builders call, making it the seam canonical_prompt_injection.py exploits.",n/a,n/a,serves as the injection seam, not itself modified
"tradingagents/agents/{analysts,researchers,trader,managers,risk_mgmt}/*.py (12 files)",prompt-builder functions,baseline_unmodified,"All 12 files call + get_language_instruction() as the literal last thing appended to their prompt strings, confirmed present and unedited on disk -- this is what makes them interceptable by one shared patch",n/a,n/a (files themselves untouched),these are the actual injection targets at runtime
comqutor_alpha/runners/tradingagents_runner.py,run_original_tradingagents_research (line ~171),agent_behavior_change (activation site),Wraps graph.propagate(...) in `with comqutor_structure_output_contract_scope():` -- this is where the prompt injection is switched on for a real one-shot run,yes,no (activates the finding above),HIGH
comqutor_alpha/runners/tradingagents_runner.py,run_streaming_tradingagents_research (line ~383),agent_behavior_change (activation site),Same wrapping applied around graph.graph.stream(init_state, **stream_args) for the streaming API (W7) path,yes,no,HIGH
comqutor_alpha/structure_engine/canonical_relation_block.py + structured_output_adapter.py (split_human_text_and_canonical_block / validate_canonical_relations),downstream parsing,output_capture_hook (downstream),"Deterministic regex/JSON extraction and validation of the already-produced COMQUTOR_CANONICAL_RELATIONS block from the agent's own text; zero .invoke()/create_llm_client hits in either file (2013 combined lines, grepped)",yes,yes in isolation (only re-parses text already produced),LOW -- but exists only because of the prompt-injection finding above
comqutor_alpha/llm/deepseek_smoke.py,deepseek_thinking_scope() (provider registry patch),provider_change,"Swaps the DeepSeek provider registry's chat_class entry to toggle 'thinking mode' request params, scoped only around TradingAgentsGraph(...) construction; no prompt-text or agent-logic change; no-op for every non-DeepSeek provider",optional (DeepSeek-only),yes-ish (a provider/config knob, not a prompt/logic change),LOW
