sample_id,ticker,target_alpha_id,before_b1_stance,after_b1_stance,independent_reviewer_stance,before_b1_stance_method,after_b1_stance_method,before_correct,after_correct,changed,category,was_mixed_or_conditional_root_cause_row
evrs-001,AMD,A301,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-002,TSM,A101,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-003,QQQ,A001,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-004,SNDK,A102,mentions_alpha,mentions_alpha,mentions_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-005,MSFT,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-006,SNDK,A003,mentions_alpha,neutral_background,neutral_background,llm,llm,False,True,True,FIXED_DISAGREEMENT,False
evrs-007,MSFT,A301,mentions_alpha,opposes_alpha,opposes_alpha,llm,llm,False,True,True,FIXED_DISAGREEMENT,True
evrs-008,QQQ,A601,opposes_alpha,supports_counter_alpha,supports_counter_alpha,llm,llm,False,True,True,FIXED_DISAGREEMENT,False
evrs-009,MSFT,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-010,QQQ,A501,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-011,NVDA,A101,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-012,NVDA,A501,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-013,SNDK,A101,opposes_alpha,opposes_alpha,mentions_alpha,llm,llm,False,False,False,UNCHANGED_DISAGREEMENT,False
evrs-014,NVDA,A304,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-015,QQQ,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-016,QQQ,A103,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-017,QQQ,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-018,SNDK,A501,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-019,TSM,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-020,TSM,A304,mentions_alpha,mentions_alpha,supports_alpha,llm,llm,False,False,False,UNCHANGED_DISAGREEMENT,True
evrs-021,AMD,A001,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-022,NVDA,A101,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-023,QQQ,A001,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-024,NVDA,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-025,MSFT,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-026,AMD,A601,mentions_alpha,mentions_alpha,supports_alpha,llm,llm,False,False,False,UNCHANGED_DISAGREEMENT,True
evrs-027,SNDK,A304,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-028,TSM,A501,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-029,AMD,A101,mentions_alpha,mentions_alpha,mentions_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-030,QQQ,A301,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-031,AMD,A101,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-032,MSFT,A501,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-033,MSFT,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-034,MSFT,A301,mentions_alpha,supports_alpha,supports_alpha,llm,llm,False,True,True,FIXED_DISAGREEMENT,True
evrs-035,NVDA,A001,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-036,AMD,A601,opposes_alpha,mentions_alpha,mentions_alpha,llm,llm,False,True,True,FIXED_DISAGREEMENT,True
evrs-037,AMD,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-038,NVDA,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-039,TSM,A301,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-040,NVDA,A304,mentions_alpha,supports_alpha,supports_alpha,llm,llm,False,True,True,FIXED_DISAGREEMENT,True
evrs-041,MSFT,A001,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-042,MSFT,A301,supports_counter_alpha,supports_counter_alpha,opposes_alpha,llm,llm,False,False,False,UNCHANGED_DISAGREEMENT,False
evrs-043,NVDA,A301,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-044,NVDA,A103,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-045,SNDK,A601,opposes_alpha,opposes_alpha,supports_counter_alpha,llm,llm,False,False,False,UNCHANGED_DISAGREEMENT,False
evrs-046,QQQ,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-047,TSM,A301,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-048,MSFT,A501,opposes_alpha,opposes_alpha,opposes_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-049,AMD,A101,mentions_alpha,mentions_alpha,mentions_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
evrs-050,QQQ,A304,supports_alpha,supports_alpha,supports_alpha,llm,llm,True,True,False,UNCHANGED_CORRECT,False
