alpha_id,dedup_group_id,canonical_evidence_text,duplicate_type,member_count,unique_agent_count,member_claim_ids,member_agents,counted_as_evidence_facts,counted_as_agent_agreement
A003,group:dupgroup_80e476cca07f,Category: Balance Sheet; Metric: Current Ratio; Value: 3.44; Assessment: Strong liquidity,semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:118,fundamental_agent,1,1
A101,group:dupgroup_eab2d90f3b94,A strong economy is what drives the AI capex cycle.,semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:29,aggressive_risk_analyst,1,1
A101,group:dupgroup_d9c05dec2790,NVIDIA Corporation is the world's leading designer of graphics processing units (GPUs) and accelerated computing platforms.,semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:2,fundamental_agent,1,1
A101,group:dupgroup_f1a9e2104997,"Data Center Dominance: The data center segment is the primary growth engine, with revenue scaling rapidly as AI training and inference workloads expand.",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:85,fundamental_agent,1,1
A101,group:dupgroup_61156640778a,"The fact that Microsoft's massive AI investment is now translating into accelerated Azure growth validates the ROI of AI infrastructure spending, supporting the sustainability of the capex cycle.",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report:claim:15,news_agent,1,1
A101,group:dupgroup_c77f277f9525,"Hyperscaler AI capex is accelerating and validating (Microsoft $41B, Azure growth acceleration).",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report:claim:43,news_agent,1,1
A101,group:dupgroup_4f419d9599c0,"Several cite the accelerating AI capex from Microsoft, Meta, and Amazon earnings as confirmation that ""AI capex is accelerating and no signs of slowing down."" There is notable attention on Michael Bur",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:sentiment_agent:sentiment_report:claim:13,sentiment_agent,1,1
A101,group:dupgroup_0582d5b1a78a,"Signal: AI capex acceleration; Direction: Bullish; Source: News + StockTwits; Supporting Evidence: Microsoft $41B spend; ""AI capex is accelerating and no signs of slowing down""",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:sentiment_agent:sentiment_report:claim:44,sentiment_agent,1,1
A102,group:dupgroup_5120150b1d00,"Inference Demand: As AI models move from training to inference at scale, demand for inference-optimized accelerators is expected to grow substantially.",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:88,fundamental_agent,1,1
A103,group:dupgroup_7f3bf4a65e48,"Its CUDA software ecosystem creates a powerful moat, and its data center segment now drives the overwhelming majority of revenue and profit.",semantic_group_activation_v2,1,1,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:4,fundamental_agent,1,1
