question,answer,evidence
Who generates nodes/edges,"Three independent sources merged into one graph: (1) LLM_EXTRACTED via _llm_edges/_validated_llm_edges when gateway enabled and claim has >=2 factors, (2) RULE_EXTRACTED via _extract_edges/relation_grammar.py deterministic pattern rules (always computed as the fallback path, and the only path when gateway is off), (3) CANONICAL_BLOCK via _canonical_relation_edges_and_nodes from TradingAgents' own single existing call's appended COMQUTOR_CANONICAL_RELATIONS JSON block",structure_extractor.py:415-534
Real LLM call,"Yes, per-claim, only when llm_gateway is not None and len(factors)>=2 -- comqutor_alpha/structure_engine/week2_llm.py Week2LLMGateway.invoke_json('structure_extractor', ...)",structure_extractor.py:415-427
Strict JSON schema,"Yes -- _validated_llm_edges enforces exact field set {source_factor,target_factor,edge_type,assertion_status,confidence}, factor membership in the claim's own allowed_factors, edge_type in VALID_EDGE_TYPES, assertion_status in VALID_ASSERTION_STATUSES, confidence in [0,1], PLUS a deterministic evidence-backing re-check (_llm_relation_is_evidence_backed) and a causal-direction plausibility re-check (plausible_causal_direction) before any LLM-proposed edge is accepted",structure_extractor.py:269-342
Empty result fallback,"Yes -- if llm_gateway.invoke_json returns None/falsy for a claim, that claim falls back to deterministic _extract_edges() for that claim only; no whole-run crash or empty-graph failure mode exists",structure_extractor.py:451-456
causal/supportive/conflicting supported,Yes -- all three present in VALID_EDGE_TYPES and independently reachable via both the deterministic relation_grammar rules and the LLM-validated path,"comqutor_alpha/structure_engine/structure_schema.py:16, structure_extractor.py:224-244"
Additional edge types beyond the 3,No -- VALID_EDGE_TYPES = {causal supportive conflicting} exactly; canonical-block edges are also constrained to this same set (line 393),structure_schema.py:16
Synonym normalization LLM-before-or-after,"Before -- factors are always deterministically normalized via normalize_factor_label()/extract_known_factors_from_text() first (_extract_factors), and the resulting allowed_factors list is what is sent TO the LLM as its only valid vocabulary; the LLM cannot introduce a new/unnormalized factor name",structure_extractor.py:65-80,415-427
Duplicate merge owner,"Deterministic -- extract_structures_from_records dedups via an explicit (source,target,edge_type,source_record_id) tuple key (edges.setdefault(key, edge)), applied identically regardless of whether the edge came from LLM, rule, or canonical-block extraction",structure_extractor.py:478-485,501-508
Edge claim/evidence lineage,"Yes on every edge -- source_claim, source_record_id, source_claim_ids, source_agent_output_id, evidence fields are populated by the shared _edge() constructor for all three edge sources",structure_extractor.py:161-197
Conditional/negated/quoted/hypothetical handling,"assertion_status is a first-class field (VALID_ASSERTION_STATUSES) on every edge; for LLM edges, semantics.negated forces assertion_status='negated' and semantics.conditional forces 'conditional' even if the LLM claimed 'asserted' -- deterministic override, not LLM-trusted",structure_extractor.py:324-327
Canonical relation block source,"TradingAgents' OWN existing single LLM call per agent (the SAME call that produces its normal report), not a separate COMQUTOR LLM extractor call -- confirmed by canonical_relation_prompt.py docstring ('never a new LLM call') and by zero .invoke()/create_llm_client hits found in canonical_relation_block.py/structured_output_adapter.py by the background LLM-inventory sub-agent",canonical_relation_prompt.py:1-9; structure_extractor.py:401-408
Does this diverge from TradingAgents minimal-hooks plan,"Yes, functionally, though not via a tradingagents/ file edit -- see tradingagents_modification_audit.csv. The canonical relation block is produced because COMQUTOR's canonical_prompt_injection.py monkeypatches all 12 native agent prompts at runtime to request it; this is more than passive output capture, even though it adds zero LLM calls and edits zero files on disk under tradingagents/.",comqutor_alpha/llm/canonical_prompt_injection.py:1-100
Real NVDA graph edge source breakdown,"Not independently re-measured in Phase 0 (would require running or replaying a real NVDA run and reading extracted_structures.json's llm_edge_count / deterministic_edge_count / canonical_relation_edge_count metadata fields, which this repo already tracks per-run) -- see UNKNOWN_NOT_INSTRUMENTED note in provider_call_baseline.json; the metadata fields exist and are correct by construction, this audit simply did not execute a fresh replay to populate them for this report.",extracted_structures.json metadata schema (structure_extractor.py:524-533)
Replay edge reproducibility,"Replay reproduces RULE_EXTRACTED and CANONICAL_BLOCK edges exactly (both are pure functions of the already-saved raw_agent_outputs.json / structured_agent_outputs.json). It can NEVER reproduce LLM_EXTRACTED edges from the original live run, because replay always calls build_extracted_structures_payload with llm_gateway=None -- see replay_semantic_reproducibility.json.",replay/pipeline.py:410
