"requirement_id","source_classification","source_reference","phase0_original_status","phase0_5_reconciled_status","functional_status","integration_status","validation_status","severity","current_implementation","target_decision","future_phase","notes"
"DP-5.1","SOURCE_FROZEN","Development Plan v1.0 §5.1 paragraphs 206-222","DIVERGED","PARTIAL","PARTIAL","CURRENT_BOUNDARY_REQUIRES_MIGRATION","SEMANTIC_QUALITY_UNPROVEN","MAJOR","Deterministic candidate segmentation plus optional LLM enrichment; LLM cannot alter claim/evidence/source_section; gateway defaults off","Retain deterministic candidate generation; make LLM the primary open-language semantic proposer behind deterministic validation","Phase 1","The Plan does not prohibit deterministic segmentation; the unsupported stricter-and-safer characterization is withdrawn"
"DP-5.2","SOURCE_FROZEN","Development Plan v1.0 §5.2 paragraph 224 and acceptance paragraph 228","COMPLIANT","IMPLEMENTATION_STRUCTURE_COMPLIANT","IMPLEMENTATION_STRUCTURE_COMPLIANT","COMPLIANT_STRUCTURE","PRODUCT_VALIDATION_MISSING","MAJOR","Tier 1 deterministic eligibility; optional Tier 2 select/defer; Tier 3 deterministic fallback; threshold 0.35; top-3","Keep bounded candidate selection and require formal John-20 evaluation before cutover","Phase 2","John's 20 labeled claims and a formal >=80% result were not found"
"DP-5.3-FUNCTION","SOURCE_FROZEN","Development Plan v1.0 §5.3 paragraphs 229-233","DIVERGED","PARTIAL","PARTIAL","NOT_APPLICABLE","SEMANTIC_QUALITY_UNPROVEN","MAJOR","Validated LLM_EXTRACTED path plus RULE_EXTRACTED and CANONICAL_BLOCK merged output","COMQUTOR-owned extractor becomes the primary relation semantic proposer; rules become explicit fallback/shadow","Phase 3","A third source is not automatically noncompliant; quality and primary authority are unproven"
"DP-5.3-INTEGRATION","SOURCE_FROZEN","Development Plan v1.0 §3 L1/L2 as-is and §5 paragraph 193 output-capture-hooks boundary","DIVERGED","DIVERGED_MAJOR","NOT_APPLICABLE","DIVERGED_MAJOR","CURRENT_CODE_DIVERGES","MAJOR","CANONICAL_BLOCK is requested by runtime monkeypatch of native agent prompt builders","TradingAgents remains as-is; COMQUTOR relation semantics move behind passive capture","Phase 4","Current runtime behavior remains unchanged in Phase 0.5"
"TA-BOUNDARY","SOURCE_FROZEN","Development Plan v1.0 §3 paragraphs 68-75 and §5 paragraph 193","DIVERGED","CURRENT_IMPLEMENTATION_DIVERGED_MAJOR","PASSIVE_CAPTURE_COMPLIANT","ACTIVE_PROMPT_MODIFICATION_DIVERGED","NOT_APPLICABLE","MAJOR","Passive output writer coexists with active canonical prompt injection; no extra LLM call or on-disk upstream edit","Measure canonical-edge impact; then disable via feature-flag migration with rollback","Phase 4","Divergence is recorded and not represented as fixed"
"DETERMINISTIC-CORE","SOURCE_FROZEN","Development Plan v1.0 design principles and §§5.4-5.7","COMPLIANT","COMPLIANT_FOR_CURRENT_AUDITED_SCOPE","COMPLIANT_FOR_CURRENT_AUDITED_SCOPE","COMPLIANT","AUDITED_SCOPE_ONLY","NONE","Audited scoring/admission/identity/serialization modules have no LLM gateway imports","Keep deterministic final authority for validity, provenance, identity, graph, scoring, conflict, serialization, and replay","All future phases","Does not claim all product functionality is complete"
"REPLAY-PROVIDER-ZERO","APPROVED_PROJECT_DECISION","ADR-003 Provider-zero invariant supported by current replay code","COMPLIANT","COMPLIANT","COMPLIANT","COMPLIANT","VERIFIED_STRUCTURALLY","NONE","TradingAgents, LLM Provider, market-data, and DB calls are structurally zero","Both future replay modes retain zero Provider and zero DB writes","Phase 0.6","Current audit script mechanically verifies the LLM-gateway boundary"
"REPLAY-SEMANTICS","APPROVED_PROJECT_DECISION","ADR-003 exact semantic replay vs raw rebuild diagnostic","PARTIAL","PARTIAL","RAW_REBUILD_DIAGNOSTIC_LIKE","CURRENT_REPLAY_PARTIAL","BLOCKER_BEFORE_DEFAULT_LLM_ENABLEMENT","MAJOR","Replay rebuilds from raw output with llm_gateway=None and cannot reproduce prior LLM-tier decisions","Persist validated semantic decisions and metadata for exact Provider-zero semantic replay","Phase 0.6","Exact mode must fail or explicitly degrade when semantic artifacts are missing"
"EVIDENCE-STANCE","JOHN_LATER_REQUIREMENT","John B1 later requirement; ADR-004","NOT_APPLICABLE","NOT_APPLICABLE","SHADOW_ONLY","NO_PRODUCTION_AUTHORITY","HUMAN_GOLD_SET_NOT_FINAL","NONE","Deterministic five-way stance diagnostic is shadow-only and does not affect Activation/Conflict","Separate addendum required before any LLM authority or production gate","Addendum A","Must not be described as Development Plan v1.0 or Alpha Mapper Tier 3"
"LLM-CACHE","SOURCE_FROZEN","Development Plan v1.0 §6 paragraph 265; §7 paragraph 322; Week 5 paragraph 369","NOT_IMPLEMENTED","MISSING","MISSING","NOT_IMPLEMENTED","NOT_VALIDATED","MAJOR","No LLM response cache exists in the audited call path","Define cache identity and persistence in the execution substrate without enabling production LLM by default","Phase 0.6","Do not infer implementation from the Plan requirement"
