plan_section,plan_requirement,evidence_quote_or_summary,current_file,current_symbol,current_behavior,status,severity,source_frozen_or_extension,recommended_future_phase,notes
Module scope,All new code lives in comqutor_alpha/,task instructions section 5,repo-wide,n/a,"True with one dead exception: tradingagents/comqutor_outputs.py (9-line shim, zero importers)",PARTIAL,MINOR,source_frozen,Phase 1,Remove or clearly document the dead shim; it is the only file physically added inside tradingagents/
Module scope,TradingAgents modifications are output capture hooks only,task instructions section 5,comqutor_alpha/llm/canonical_prompt_injection.py,comqutor_structure_output_contract_scope,"Runtime monkeypatch of get_language_instruction on all 12 native agent modules, appending a new structured-output instruction to every prompt for the run's duration",DIVERGED,MAJOR,source_frozen,Phase 1 addendum,"Functionally a prompt change achieved via monkeypatch rather than a tradingagents/ file edit; adds zero LLM calls and edits zero files on disk, but does change what every agent is asked to produce -- the single most important finding of this audit"
5.1,Converts each agent's natural-language output into standard claim schema via LLM,task instructions section 5.1,comqutor_alpha/structure_engine/structured_output_adapter.py,adapt_raw_agent_outputs / _llm_batch_enrichment,"Claim/evidence segmentation is fully deterministic (never LLM); LLM is an OPTIONAL per-batch enrichment layer limited to entities/factors/direction/confidence, must preserve claim/evidence verbatim, disabled by default",DIVERGED,MAJOR,source_frozen,Phase 1,"The plan's literal wording implies the LLM does primary NL-to-claim conversion; the actual implementation inverts this -- deterministic segmentation is primary and LLM is a bounded enrichment add-on. This is a stricter/safer design, but is a real divergence from the literal plan wording, not a bug"
5.1,Required fields run_id/ticker/agent/timestamp/claim/evidence/entities/factors/direction/confidence/source_type/source_refs,task instructions section 5.1,comqutor_alpha/structure_engine/structured_output_adapter.py,validate_structured_output,All 12 fields present and validated on every record,COMPLIANT,INFORMATIONAL,source_frozen,n/a,see structured_adapter_gap_matrix.csv for per-field sourcing
5.1,Safe default on LLM parse failure; malformed JSON must not propagate; parsing failure must not crash the run,task instructions section 5.1,comqutor_alpha/structure_engine/structured_output_adapter.py + week2_llm.py,safe_default_record / Week2LLMGateway.invoke_json,"invoke_json catches TimeoutError/JSONDecodeError/TypeError/ValueError/KeyError/Exception, logs a stable error_code, retries, then returns None -- callers fall back to deterministic paths; safe_default_record covers empty/invalid raw records",COMPLIANT,INFORMATIONAL,source_frozen,n/a,verified by direct code read, not just docstring claim
5.1,NVDA acceptance includes fundamental/news/sentiment/technical agents,task instructions section 5.1,comqutor_alpha/structure_engine/structured_output_adapter.py,LLM_STRUCTURED_AGENTS,"{market_agent, technical_agent, sentiment_agent, news_agent, fundamental_agent, fundamentals_agent} -- superset includes market_agent too",COMPLIANT,INFORMATIONAL,source_frozen,n/a,n/a
5.2,Three-tier matching in priority order: keyword+factor / LLM classification / rule-based fallback,task instructions section 5.2,comqutor_alpha/structure_engine/alpha_mapper.py,map_claim_to_alpha / _apply_optional_classifier,"All three tiers present and correctly prioritized; Tier 2 only triggers on >=2 deterministically-eligible candidates; Tier 3 fallback keeps the deterministic decision on any LLM failure",COMPLIANT,INFORMATIONAL,source_frozen,n/a,see alpha_mapper_gap_matrix.csv
5.2,First version threshold 0.35,task instructions section 5.2,comqutor_alpha/structure_engine/alpha_mapper.py,DEFAULT_MIN_MATCH_SCORE,0.35 exactly (unchanged since Week 2 per docs/week2_completion_report.md),COMPLIANT,INFORMATIONAL,source_frozen,n/a,n/a
5.2,Top-3 Alpha output,task instructions section 5.2,comqutor_alpha/structure_engine/alpha_mapper.py,top_candidates,candidates[:3] exactly,COMPLIANT,INFORMATIONAL,source_frozen,n/a,n/a
5.2,John's 20 labeled claims; overall accuracy target >= 80%,task instructions section 5.2,repo-wide search,n/a,No file matching a 20-labeled-claims accuracy evaluation of the Alpha Mapper was found in this repository during Phase 0,MISSING,MAJOR,source_frozen,Phase 2,"Cannot confirm this evaluation was ever run/committed; UNKNOWN_NOT_INSTRUMENTED rather than assumed complete or assumed absent beyond what a repo search shows"
