sample_id,ticker,llm_expected_stance,llm_expected_alpha_id,llm_counter_alpha_id,llm_should_be_admissible,llm_too_generic,llm_ticker_specific,llm_duplicate,llm_confidence,llm_reason,review_source,llm_stance_confidence,llm_stance_reason,llm_stance_source
evrs-001,AMD,supports_alpha,A301,,conditional,False,True,False,medium,"The evidence is framed around AMD delivering a beat-and-raise earnings outcome driving price targets, which substantively engages with Revenue Expansion (A301). However, the evidence is essentially a price-target speculation with no underlying data cited, making admissibility conditional on the supporting data being present elsewhere.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-002,TSM,opposes_alpha,A201,,conditional,True,False,True,medium,"The evidence describes generic semiconductor cyclicality risk applicable to any chip company, not specifically TSM, and while it touches on the Semiconductor Supercycle thesis (A201) by referencing a potential downturn, it is too generic and industry-level to be ticker-specific or decisively admissible.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-003,QQQ,opposes_alpha,A001,,yes,False,True,False,high,"The evidence directly engages with the Rate Cut Cycle alpha (A001) by asserting that a delayed easing cycle would pressure QQQ's elevated multiple, which is a specific, decision-relevant bear-side claim about the impact of rate policy on this fund's valuation.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-004,SNDK,mentions_alpha,A601,,conditional,False,True,True,medium,"The evidence references investor narrative momentum around a $42B backlog and 'AI supercycle narrative' driving a bullish thesis, which most directly engages with Narrative Momentum (A601); however, the framing is speculative ('some people are going to look at') rather than a direct factual claim, making admissibility conditional.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-005,MSFT,supports_alpha,A304,,yes,False,True,False,high,"The evidence directly and substantively engages with Multiple Compression (A304) by asserting that insufficient Azure growth acceleration could compress MSFT's multiple despite strong fundamentals, which is a specific, ticker-relevant bear-side claim.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-006,SNDK,neutral_background,A601,,conditional,False,True,True,medium,"Identical to evrs-004; the evidence references investor narrative momentum around a $42B backlog and 'AI supercycle narrative,' most directly engaging with Narrative Momentum (A601), but the speculative framing ('some people are going to look at') makes admissibility conditional rather than definitive.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-007,MSFT,opposes_alpha,A304,,yes,False,True,False,high,"The evidence provides specific financial figures ($115.95B CapEx, 6.5% FCF compression, $66.99B FCF) and directly argues that the market has not yet validated conversion of heavy spending into proportional revenue growth, substantively engaging with Multiple Compression (A304) as a bear-side risk for MSFT.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-008,QQQ,supports_counter_alpha,A501,A501,conditional,False,True,False,medium,"The evidence directly invokes Recession Risk (A501) by claiming a broader economic slowdown is masked by AI narrative momentum, which is a specific macro bear claim relevant to QQQ; admissibility is conditional because the sourcing is a single quoted opinion rather than hard data.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-009,MSFT,supports_alpha,A304,,conditional,False,True,False,medium,"The evidence names MSFT's $3.43T market cap and asserts it is priced for continued high growth, directly engaging with Multiple Compression (A304); however, it is a bare assertion without supporting valuation metrics or comparisons, making admissibility conditional on additional context.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-010,QQQ,supports_alpha,A501,,yes,False,True,False,high,"The evidence directly and specifically engages with Recession Risk (A501) by arguing that QQQ's high-multiple growth composition makes it disproportionately vulnerable to recessionary shocks compared to broad-market indices, which is a specific, decision-relevant bear claim for this ticker.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-011,NVDA,supports_alpha,A103,,yes,False,True,False,high,"The evidence cites Microsoft's $41B AI spend and Azure growth acceleration as validation of GPU demand, directly engaging A103 (AI Infrastructure buildout driving datacenter/server demand) with a specific hyperscaler data point linked to NVDA's demand engine.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-012,NVDA,opposes_alpha,A501,,yes,False,True,False,medium,"The evidence directly rebuts A501 (Recession Risk) by citing a specific 12% recession probability figure and linking it to NVDA's growth outlook, making it a substantive counter-evidence to the recession risk thesis for this ticker.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-013,SNDK,mentions_alpha,A601,,yes,True,False,False,medium,"The claim about AI demand narrative being contested and subject to sentiment shifts directly engages A601 (Narrative Momentum) as a bearish signal, but the evidence is generic boilerplate with no specific data or SNDK-specific content.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-014,NVDA,opposes_alpha,A304,,yes,False,True,False,high,"The evidence is an explicit rebuttal of A304 (Multiple Compression/valuation risk), arguing the valuation risk argument is a lazy heuristic ignoring actual numbers — this substantively engages the core thesis of A304 for NVDA.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
