sample_id,sampling_version,run_id,source_run_id,replay_run_id,ticker,analysis_date,claim_id,source_agent_output_id,agent,claim,evidence,target_alpha_id,target_alpha_name,matched_alpha_id,matched_alpha_name,match_status,match_score,relation,direction,assertion_status,semantic_polarity,claim_quality,ticker_specific,evidence_stance,counter_alpha_id,stance_reason_codes,stance_confidence_band,requires_manual_review,evidence_fact_group_ids,fact_group_member_count,duplicate_or_paraphrase_member,used_in_activation,activation_score,used_in_conflict,conflict_ids,conflict_side,reviewer_expected_stance,reviewer_counter_alpha_id,reviewer_should_be_admissible,reviewer_confidence,reviewer_notes,review_status
evrs-001,evidence_review_sample.v1,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,AMD,2026-07-31,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:62,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:aggressive_risk_analyst:risk_debate_state.aggressive_history,aggressive_risk_analyst,If AMD delivers a beat-and-raise — which the data suggests is highly likely — the stock reclaims the 50-day SMA at $512.45 and heads toward the $550-$580 zone.,If AMD delivers a beat-and-raise — which the data suggests is highly likely — the stock reclaims the 50-day SMA at $512.45 and heads toward the $550-$580 zone.,A301,Revenue Expansion,A301,Revenue Expansion,matched,0.6223,conditional,positive,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,e51ac2e4538e936ea1d05235,1,false,true,89.139,true,A301__A304,bull,,,,,,pending
evrs-002,evidence_review_sample.v1,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,TSM,2026-08-03,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:fundamental_agent:fundamentals_report:claim:70,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:fundamental_agent:fundamentals_report,fundamental_agent,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,A101,AI Expansion,A501,Recession Risk,matched,0.4973,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,bd5b1079eeeabd599c5a713a,1,false,true,0.0,true,,,,,,,,pending
evrs-003,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:49,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report,fundamental_agent,"Conversely, a delayed easing cycle would pressure the fund's elevated multiple.","Conversely, a delayed easing cycle would pressure the fund's elevated multiple.",A001,Rate Cut Cycle,A001,Rate Cut Cycle,matched,0.6223,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,76b297adeb1107fbd30eec0f,1,false,true,46.4088,true,A001__A501,bull,,,,,,pending
evrs-004,evidence_review_sample.v1,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,SNDK,2026-07-27,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:32,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history,aggressive_risk_analyst,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,A102,Inference Explosion,A601,Narrative Momentum,matched,0.08,activation,positive,asserted,activation,analytical,true,neutral_background,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,7accbf948fcdd428049954da,1,false,true,0.0,true,,,,,,,,pending
evrs-005,evidence_review_sample.v1,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,0cb43bae-1a4d-4003-bb29-55d420498842,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,MSFT,2026-07-31,0cb43bae-1a4d-4003-bb29-55d420498842:conservative_risk_analyst:risk_debate_state.conservative_history:claim:54,0cb43bae-1a4d-4003-bb29-55d420498842:conservative_risk_analyst:risk_debate_state.conservative_history,conservative_risk_analyst,"If Azure growth does not accelerate proportionally in the coming quarters, the stock could face multiple compression despite strong absolute fundamentals.","If Azure growth does not accelerate proportionally in the coming quarters, the stock could face multiple compression despite strong absolute fundamentals.",A304,Multiple Compression,A304,Multiple Compression,matched,0.6716,mixed,neutral,mixed,mixed,analytical,true,neutral_background,,MIXED_STANCE_UNRESOLVED,low,true,8f50585716b060021f712c8e,1,false,true,39.7525,true,A301__A304|A304__A601,bear,,,,,,pending
evrs-006,evidence_review_sample.v1,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,SNDK,2026-07-27,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:32,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:aggressive_risk_analyst:risk_debate_state.aggressive_history,aggressive_risk_analyst,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,A003,Liquidity Expansion,A601,Narrative Momentum,matched,0.08,activation,positive,asserted,activation,analytical,true,neutral_background,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,7accbf948fcdd428049954da,1,false,true,18.0993,true,,,,,,,,pending
evrs-007,evidence_review_sample.v1,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,0cb43bae-1a4d-4003-bb29-55d420498842,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,MSFT,2026-07-31,0cb43bae-1a4d-4003-bb29-55d420498842:portfolio_manager:final_trade_decision:claim:10,0cb43bae-1a4d-4003-bb29-55d420498842:portfolio_manager:final_trade_decision,portfolio_manager,"The central tension is the $115.95B CapEx: it compressed FCF 6.5% to $66.99B despite record OCF, and the market has validated the quarter but not yet the multi-year conversion of that spending into proportional revenue growth.","The central tension is the $115.95B CapEx: it compressed FCF 6.5% to $66.99B despite record OCF, and the market has validated the quarter but not yet the multi-year conversion of that spending into proportional revenue growth.",A301,Revenue Expansion,A301,Revenue Expansion,matched,0.6716,mixed,neutral,mixed,mixed,analytical,true,neutral_background,,MIXED_STANCE_UNRESOLVED,low,true,e1fc08e17521eef01076c967,1,false,true,60.0,true,A301__A304,bull,,,,,,pending
evrs-008,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:sentiment_agent:sentiment_report:claim:12,a364e0ee-3bb4-4032-88b7-5cd82e379805:sentiment_agent:sentiment_report,sentiment_agent,"economy — ""one powerful investment trend is masking a broader slowdown"" (GuruFocus), pointing to recession risk beneath the AI narrative.","economy — ""one powerful investment trend is masking a broader slowdown"" (GuruFocus), pointing to recession risk beneath the AI narrative.",A601,Narrative Momentum,A501,Recession Risk,matched,0.3123,activation,negative,asserted,activation,analytical,true,supports_counter_alpha,A501,CANONICAL_COUNTER_ALPHA_SUPPORTED,medium,false,91e5e7ba27d08907bdff6515,3,true,true,45.5479,true,,,,,,,,pending
evrs-009,evidence_review_sample.v1,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,0cb43bae-1a4d-4003-bb29-55d420498842,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,MSFT,2026-07-31,0cb43bae-1a4d-4003-bb29-55d420498842:fundamental_agent:fundamentals_report:claim:102,0cb43bae-1a4d-4003-bb29-55d420498842:fundamental_agent:fundamentals_report,fundamental_agent,"Valuation Risk: Despite the pullback, at $3.43T market cap, the stock remains priced for continued high growth.","Valuation Risk: Despite the pullback, at $3.43T market cap, the stock remains priced for continued high growth.",A304,Multiple Compression,A304,Multiple Compression,matched,0.5081,mixed,neutral,mixed,mixed,analytical,true,neutral_background,,MIXED_STANCE_UNRESOLVED,low,true,b229f062e3c105be497b4548,1,false,true,39.7525,true,A301__A304|A304__A601,bear,,,,,,pending
evrs-010,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:51,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report,fundamental_agent,"Recession Risk: An economic slowdown would disproportionately pressure high-multiple growth names, making QQQ more vulnerable than broad-market indices to recessionary shocks.","Recession Risk: An economic slowdown would disproportionately pressure high-multiple growth names, making QQQ more vulnerable than broad-market indices to recessionary shocks.",A501,Recession Risk,A501,Recession Risk,matched,0.93,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,c880431afb3abe37ad0652b4,1,false,true,60.3717,true,A003__A501|A001__A501|A501__A601,bear,,,,,,pending
