sample_id,ticker,target_alpha_id,target_alpha_name,evidence,current_b1_stance,independent_llm_stance,current_b1_counter_alpha_id,independent_counter_alpha_id,current_b1_confidence_or_reason,independent_confidence,independent_reason,used_in_activation,used_in_conflict,root_cause,severity,b2_downstream_impact,plausibility_assessment,analyst_note
evrs-006,SNDK,A003,Liquidity Expansion,Some people are going to look at the $42 billion backlog and the AI supercycle narrative and say this is the buy of the decade.,mentions_alpha,neutral_background,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,G,LOW,none (neither stance is supports_alpha; presentation/UI-level only),REVIEWER_MORE_PLAUSIBLE,"Third-party hearsay framing ('some people are going to look at...and say') about narrative/backlog, evaluated against a Liquidity Expansion (A003) target it barely engages; neutral_background is the cleaner read."
evrs-007,MSFT,A301,Revenue Expansion,"The central tension is the $115.95B CapEx: it compressed FCF 6.5% to $66.99B despite record OCF, and the market has validated the quarter but not yet the multi-year conversion of that spending into proportional revenue growth.",mentions_alpha,opposes_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,none (neither stance is supports_alpha),REVIEWER_MORE_PLAUSIBLE,"MIXED_STANCE_UNRESOLVED; sentence's own resolution clause ('validated the quarter but not yet the multi-year conversion') leans skeptical, supporting opposes_alpha over the more conservative mentions_alpha."
evrs-008,QQQ,A601,Narrative Momentum,"economy — ""one powerful investment trend is masking a broader slowdown"" (GuruFocus), pointing to recession risk beneath the AI narrative.",opposes_alpha,supports_counter_alpha,,A501,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,E,HIGH,none on target A601's own supporting count (neither stance is supports_alpha); possible secondary effect on counter-alpha A501's own count not confirmed by this diagnostic,REVIEWER_MORE_PLAUSIBLE,Text explicitly invokes 'recession risk' language matching A501's core thesis; J3's supports_counter_alpha(A501) is more precise than B1's plain opposes_alpha.
evrs-013,SNDK,A101,AI Expansion,AI demand narrative increasingly contested and subject to sentiment shifts,opposes_alpha,mentions_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),medium,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,C,MEDIUM,none (neither stance is supports_alpha),SYSTEM_MORE_PLAUSIBLE,"'AI demand narrative increasingly contested' is a real directional claim undermining A101, not just topic-mention; B1's opposes_alpha reads the skepticism J3's mentions_alpha under-reads."
evrs-020,TSM,A304,Multiple Compression,Valuation risk if the 335% run has priced in expectations (though sources call it reasonable).,mentions_alpha,supports_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),medium,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,"B2 supporting_evidence_count for A304: +1 under J3's supports_alpha, +0 under B1's mentions_alpha",GENUINELY_AMBIGUOUS,Explicit parenthetical hedge '(though sources call it reasonable)' cuts against the primary valuation-risk claim; reasonable to read either way.
evrs-026,AMD,A601,Narrative Momentum,The dominant tension is between a strong AI growth narrative and a rich valuation ahead of a high-stakes earnings report.,mentions_alpha,supports_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),medium,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,B2 supporting_evidence_count for A601: +1 vs +0,GENUINELY_AMBIGUOUS,"Sentence explicitly frames a 'dominant tension' between two competing narratives; genuinely balanced framing, not a clean directional claim."
evrs-034,MSFT,A301,Revenue Expansion,This investment is driving near-term FCF compression but positions Microsoft for significant AI/cloud revenue growth.,mentions_alpha,supports_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,B2 supporting_evidence_count for A301: +1 vs +0,GENUINELY_AMBIGUOUS,'driving near-term FCF compression BUT positions...for growth' gives roughly equal rhetorical weight to both clauses.
evrs-036,AMD,A601,Narrative Momentum,"Let me walk you through the numbers, because the bear narrative that AMD is ""priced for perfection"" ignores how dramatically the underlying business has improved.",opposes_alpha,mentions_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,none (neither stance is supports_alpha),GENUINELY_AMBIGUOUS,Meta-rebuttal of a bear narrative ('the bear narrative...ignores...') structurally similar to John's own fixed rebuttal example; genuinely unclear whether the rebuttal itself counts as opposing or merely mentioning Narrative Momentum.
evrs-040,NVDA,A304,Multiple Compression,"NVDA enters the final days of July 2026 in a state of constructive tension: the long-term AI demand narrative remains firmly intact (hyperscaler capex is accelerating, CEO Jensen Huang is actively defending the growth thesis), yet the stock has experienced a recent selloff and is trading with elevated sensitivity to macro and valuation concerns.",mentions_alpha,supports_alpha,,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),medium,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,F,MEDIUM,B2 supporting_evidence_count for A304: +1 vs +0,GENUINELY_AMBIGUOUS,Explicitly named 'constructive tension...yet elevated sensitivity'; balanced bull/bear framing by the text's own design.
evrs-042,MSFT,A301,Revenue Expansion,"If the depreciation hits the income statement as expected, or if AI revenue growth decelerates, the forward EPS will be revised down, and the ""cheap"" 20x P/E will quickly become an expensive 25x+ P/E.",supports_counter_alpha,opposes_alpha,A304,,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),True,True,E,HIGH,none on target A301's own count (neither stance is supports_alpha); possible secondary effect on counter-alpha A304's own count not confirmed by this diagnostic,SYSTEM_MORE_PLAUSIBLE,Text is explicitly about P/E-multiple compression mechanics (20x->25x+); B1's precise supports_counter_alpha(A304) attribution is better-grounded than J3's plain opposes_alpha.
evrs-045,SNDK,A601,Narrative Momentum,This is a headwind for any premium multiple attached to SNDK's AI supercycle narrative.,opposes_alpha,supports_counter_alpha,,A304,NOT CAPTURED BY b1_llm_stance_50_validation_after_parser_fix.csv (no confidence/reason column),high,NOT CAPTURED BY j3_provisional_semantic_benchmark_v0.1.json (no review_reason field in frozen benchmark rows),False,False,E,HIGH,"none -- row is not used_in_activation or used_in_conflict at all currently, regardless of which stance wins",REVIEWER_MORE_PLAUSIBLE,'Headwind for any premium multiple' is squarely A304's thesis; J3's supports_counter_alpha(A304) is more precise than B1's plain opposes_alpha.
